"Date","Site.Name","COUNTY","meanLat","meanLong","Month","Year","PM2.5","Ozone"
2018-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,49,NA
2018-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,39,NA
2018-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,47,31
2018-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,28,NA
2018-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,15,NA
2018-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,38,NA
2018-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,2018,48,34
2018-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,27,NA
2018-01-08,"Bryson City","Swain",35.434767,-83.442133,1,2018,71,NA
2018-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,11,NA
2018-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,52,NA
2018-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,34.5,NA
2018-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,3,NA
2018-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,53,16
2018-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,40,NA
2018-01-08,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,40,NA
2018-01-08,"Linville Falls","Avery",35.972347,-81.933072,1,2018,22,NA
2018-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,44,NA
2018-01-08,"Millbrook School","Wake",35.856111,-78.574167,1,2018,42.5,27
2018-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,38,NA
2018-01-09,"Bryson City","Swain",35.434767,-83.442133,1,2018,78,NA
2018-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,20,NA
2018-01-09,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,60,NA
2018-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,49,NA
2018-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,53,28
2018-01-09,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,54,NA
2018-01-09,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,19,NA
2018-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,43,NA
2018-01-09,"Millbrook School","Wake",35.856111,-78.574167,1,2018,35,30
2018-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,43,NA
2018-01-10,"Bryson City","Swain",35.434767,-83.442133,1,2018,56,NA
2018-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,14,NA
2018-01-10,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,39,NA
2018-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,39,NA
2018-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,38,31
2018-01-10,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,32,NA
2018-01-10,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,35,NA
2018-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,29,NA
2018-01-10,"Millbrook School","Wake",35.856111,-78.574167,1,2018,22,33
2018-01-10,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,35,NA
2018-01-11,"Bryson City","Swain",35.434767,-83.442133,1,2018,17,NA
2018-01-11,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,12,NA
2018-01-11,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,59,NA
2018-01-11,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,43.5,NA
2018-01-11,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,0,NA
2018-01-11,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,35,26
2018-01-11,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,48.5,NA
2018-01-11,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,34,NA
2018-01-11,"Linville Falls","Avery",35.972347,-81.933072,1,2018,3,NA
2018-01-11,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,55,NA
2018-01-11,"Millbrook School","Wake",35.856111,-78.574167,1,2018,23,26
2018-01-11,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,41,NA
2018-01-12,"Bryson City","Swain",35.434767,-83.442133,1,2018,10,NA
2018-01-12,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,0,NA
2018-01-12,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,23,NA
2018-01-12,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,5,NA
2018-01-12,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,20,33
2018-01-12,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,23,NA
2018-01-12,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,8,NA
2018-01-12,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,15,NA
2018-01-12,"Millbrook School","Wake",35.856111,-78.574167,1,2018,0,35
2018-01-12,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,13,NA
2018-01-13,"Bryson City","Swain",35.434767,-83.442133,1,2018,18,NA
2018-01-13,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,10,NA
2018-01-13,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,10,NA
2018-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,20,NA
2018-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,15,32
2018-01-13,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,10,NA
2018-01-13,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,0,NA
2018-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,12,NA
2018-01-13,"Millbrook School","Wake",35.856111,-78.574167,1,2018,24,32
2018-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,8,NA
2018-01-14,"Bryson City","Swain",35.434767,-83.442133,1,2018,28,NA
2018-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,10,NA
2018-01-14,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,25,NA
2018-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,20,NA
2018-01-14,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,6,NA
2018-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,26.5,31
2018-01-14,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,20.3333333333333,NA
2018-01-14,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,10,NA
2018-01-14,"Linville Falls","Avery",35.972347,-81.933072,1,2018,10,NA
2018-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,22,NA
2018-01-14,"Millbrook School","Wake",35.856111,-78.574167,1,2018,19.5,NA
2018-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,15,NA
2018-01-15,"Bryson City","Swain",35.434767,-83.442133,1,2018,43,NA
2018-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,21,NA
2018-01-15,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,30,NA
2018-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,44,NA
2018-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,43,27
2018-01-15,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,30,NA
2018-01-15,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,24,NA
2018-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,40,NA
2018-01-15,"Millbrook School","Wake",35.856111,-78.574167,1,2018,35,NA
2018-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,35,NA
2018-01-16,"Bryson City","Swain",35.434767,-83.442133,1,2018,52,NA
